S/N,Title,Images,Shelflist,Position,Author,Category,SubCategory,Publisher,Description,Tags
126,A blue ribbon for Sugar,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/A-blue-ribbon-for-Sugar.jpg,14-1,58,Elaine Clayton,Sách truyện thiếu nhi,7-9 tuổi,Roaring Brook Press,"Bonnie dreams of riding: racing around barrels at the rodeo, jumping fences in the steeplechase, lassoing cattle on the range. When Sugar, Bonnie's beloved plastic pony, pops a spring and her dad takes her for riding lessons on a real horse, her dreams come true. She learns how to walk, trot, jump, and how to tack, groom, and care for a horse. Then comes Bonnie's first horse show, with a blue ribbon for her - and a surprise for Sugar, too. Carefully researched, full of information, and lovingly illustrated with bright, energetic watercolors, A Blue Ribbon for Sugar is the perfect primer for every young rider.",7-9 tuổi
423,"Alfred Zector, book collector",https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Alfred-Zector-book-collector.jpg,17-2,9,Kelly DiPucchio,Sách truyện thiếu nhi,7-9 tuổi,Harper Collins,"In his warm, weathered house, stuffed in crannies and nooks, were heaps, rows, and stacks of beloved bound books.
 The only thing that brings Alfred Zector joy is collecting books. And so he sets out on a mission to collect every last one, until his home on the hill is stretched at the seams with books big and small. But what happens when the rest of the townspeople have nothing left to read? In this clever rhyming story, Alfred Zector discovers what it means to find true joy in a good book.",7-9 tuổi
500,All you need to teach poetry: ages 8-10,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/All-you-need-to-teach-poetry-ages-8-10.jpg,28-2R,12,Amelia Walker,Sách học và hoạt động,Tiếng Anh (10-12 tuổi),Macmillan Education,"This practical title contains essential information, text models, lesson banks and worksheets to engage students as they discover, explore and write poetry.",10-12 tuổi
639,Animal numbers,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Animal-numbers.jpg,4-5,17,Thomas Flintham,Sách truyện thiếu nhi,3-6 tuổi,Little Simon,Join Thomas Flintham on a vibrantly colorful animal adventure that will have the littlest readers counting from one to ten.,3-6 tuổi
656,Animal tales,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Animal-tales.jpg,10-2,80,Young Learner Publications,Sách truyện thiếu nhi,7-9 tuổi,Young Learner Publications,"Animal Tales Animals, and their stories, have always held a special fascination for young children. They are drawn towards their pictures, cartoons, sketches, etc. This series of Animal Tales strives to bank upon this fascination to communicate to the children the different moral values and lessons that they should adapt and follow in their daily lives. It is imperative for the young minds to inculcate a healthy attitude and positive feelings in their hearts to enable them to grow up into mature, sensible and responsible adults. Each of the six books contains four moral based stories presented in simple language for easy understanding along.",7-9 tuổi
705,"Anytime, anywhere",https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Anytime-anywhere.jpg,18-3,10,Marcus Hummon,Sách truyện thiếu nhi,7-9 tuổi,Atheneum Books for Young Readers,"At the end of a busy day, a little boy surprises and amuses his father with a rather unusual list of people and things he wants to pray for. From the littlest ladybug to the mailman who broke his leg, this boy's prayer celebrates the wonder of one child's imagination - and every child's ability to care deeply about others.",7-9 tuổi
749,Arrow to the sun,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Arrow-to-the-sun.jpg,10-1,87,Gerald McDermott,Sách truyện thiếu nhi,7-9 tuổi,Puffin Books,"With vibrant colors and bold geometric forms, Gerald McDermott brilliantly captures the stylized look of Pueblo Indian art in this Caldecott Award-winning retelling of an ancient legend. A young boy searches for his father, but before he can claim his heritage he must first prove his worthiness by passing through the four ceremonial chambers: the kiva of lions, the kiva of snakes, the kiva of bees, and the kiva of lightning. Striking in its simplicity and grace, Arrow to the Sun vividly evokes the Native American reverence for the source of all life - the Solar Fire.",7-9 tuổi
905,Bad hare day,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Bad-hare-day.jpg,10-2,75,Miriam Moss,Sách truyện thiếu nhi,7-9 tuổi,Bloomsbury USA Childrens,"When a Holly, a young hare, spends the day with her uncle at his hairdressing salon, she promises to be very good. But her uncle disappears to take a delivery at the back door, and Holly's irrepressible curiosity and fabulous sense of fun result in some very unusual hair designs. A bright and vibrant picture book perfect for young readers who will love the humor and all the well-tressed animals.",7-9 tuổi
926,Bam bam bam,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Bam-bam-bam.jpg,4-5,5,Eve Merriam,Sách truyện thiếu nhi,3-6 tuổi,Henry Holt and Co.,An exuberant celebration of construction and the noise and confusion that accompany it.,3-6 tuổi
1007,Beauty and the beast,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Beauty-and-the-beast.jpg,11-3,45,Disney,Sách truyện thiếu nhi,7-9 tuổi,Disney,"Come be our guest in the Beast's castle where teapots talk, spoons dance, and beautiful Belle discovers that things are never quite as they seem.",7-9 tuổi
