S/N,Title,Images,Shelflist,Position,Author,Category,SubCategory,Publisher,Description,Tags
232,A monster calls,https://lotuscommunity.org.vn/wp-content/uploads/2021/10/A-monster-calls.jpg,34-2,013,Patrick Ness,Sách truyện người lớn,Bí ẩn,Candlewick,"The monster in Conor’s backyard is not the one he’s been expecting - the one from the nightmare he’s had every night since his mother started her treatments. This monster is ancient. And wild. And it wants something from Conor. Something terrible and dangerous. It wants the truth. From the final idea of award-winning author Siobhan Dowd - whose premature death from cancer prevented her from writing it herself - Patrick Ness has spun a haunting and darkly funny novel of mischief, loss, and monsters both real and imagined.",Từ 13 tuổi trở lên
276,A really awesome mess,https://lotuscommunity.org.vn/wp-content/uploads/2021/10/A-really-awesome-mess.jpg,33-4,072,Trish Cook,Sách truyện người lớn,Thực tế,Carolrhoda Lab,"Two teenagers. Two very bumpy roads taken that lead to Heartland Academy. After his parents' divorce, Justin is on rocky mental ground. But when a handful of Tylenol lands him in the hospital, he has really hit rock bottom. A scandalous photo of Emmy leads to vicious rumors around school, but things get worse when she threatens the boy who started it all on Facebook. Justin and Emmy arrive at Heartland Academy, a reform school that will force them to deal with their issues. Along the way they will find a ragtag group of teens who are just as broken, stubborn, and full of sarcasm as themselves. A funny, sad, and remarkable story, A Really Awesome Mess is a journey of friendship and self-discovery.",Từ 13 tuổi trở lên
279,A selection of nonsense verse,https://lotuscommunity.org.vn/wp-content/uploads/2021/10/A-selection-of-nonsense-verse.jpg,34-2,078,Edward Lear,Sách truyện người lớn,Thực tế,Egmont Books,"Discover the world of Edward Lear, where everything is out of the ordinary.",Từ 13 tuổi trở lên
378,After earth,https://lotuscommunity.org.vn/wp-content/uploads/2021/10/After-earth.jpg,32-5,066,Peter David,Sách truyện người lớn,Khoa học,Del Rey,"Experience the vast tapestry of After Earth in a novelization unlike any other: a thousand-year saga featuring original content from the mind of Peter David, the veteran sci-fi author who helped develop the richly imagined universe. This is the complete, never-before-seen chronicle of the extraordinary family that’s been across the universe and back - from humanity’s last days on Earth through the events of the epic film!",Từ 13 tuổi trở lên
411,Alchemy and Meggy Swann,https://lotuscommunity.org.vn/wp-content/uploads/2021/10/Alchemy-and-Meggy-Swann.jpg,33-6,043,Karen Cushman,Sách truyện người lớn,Khoa học,Clarion Books,"Fans of Karen Cushman's witty novels will welcome Meggy Swann, newly come to London with her only friend, a goose named Louise. Meggy's mother was glad to be rid of her; her father, who sent for her, doesn't want her after all. Meggy is appalled by London, dirty and noisy, full of rogues and thieves, and difficult to get around in - not that getting around is ever easy for someone who walks with the help of two sticks. Just as her alchemist father pursues his great work of transforming base metal into gold, Meggy finds herself pursuing her own transformation. Elizabethan London has its dark side, but it also has gifts in store for Meggy Swann.",Từ 13 tuổi trở lên
485,All I need,https://lotuscommunity.org.vn/wp-content/uploads/2021/10/All-I-need.jpg,32-2,026,Susane Colasanti,Sách truyện người lớn,Lãng mạn,Speak,"The last night of summer is only the beginning...
Skye wants to meet the boy who will change her life forever. Seth feels their instant connection the second he sees her. When Seth starts talking to Skye at the last beach party of the summer, it's obvious to both of them that this is something real.
But when Seth leaves for college before they exchange contact info, Skye wonders if he felt the same way she did - and if she will ever see him again. Even if they find their way back to each other, can they make a long-distance relationship work despite trust issues, ex drama, and some serious background differences?",Từ 13 tuổi trở lên
499,All woman and springtime,https://lotuscommunity.org.vn/wp-content/uploads/2021/10/All-woman-and-springtime.jpg,33-3,016,B.W. Jones,Sách truyện người lớn,Truyền cảm hứng,Algonquin Books,"Before she met Il-sun in an orphanage, Gi was a hollow husk of a girl, broken from growing up in one of North Korea’s forced-labor camps. A mathematical genius, she learned to cope with pain by retreating into a realm of numbers and calculations, an escape from both the past and the present. Gi becomes enamored of the brash and radiant Il-sun, a friend she describes as “all woman and springtime.” But Il-sun’s pursuit of a better life imperils both girls when her suitor spirits them across the Demilitarized Zone and sells them as sex workers, first in South Korea and then in the United States.
All Woman and Springtime takes us behind the iron curtain of the most mysterious country on earth as it weaves a heartbreaking, breath-taking story.",Từ 13 tuổi trở lên
777,Asterix and the secret weapon,https://lotuscommunity.org.vn/wp-content/uploads/2021/10/Asterix-and-the-secret-weapon.jpg,34-1,031,Albert Uderzo,Sách truyện người lớn,Phiêu lưu,Orion,"A woman bard? That’s unheard of in Ancient Gaul. So, when the mothers in Asterix’s town want to replace Cacofonix with Bravura, the men are horrified. But, Bravura hits the right notes musically, and she proves very valuable when Julius Caesar sends in his secret weapon: a group of female legionnaries. Caesar thinks the Gauls will be too noble to fight the women... but Bravura has no such scruples! And, even Cacofonix succeeds in coming into his own.",Từ 13 tuổi trở lên
782,Astra,https://lotuscommunity.org.vn/wp-content/uploads/2021/10/Astra.jpg,33-3,041,Chris Platt,Sách truyện người lớn,Thực tế,Peachtree Publishing Company,"Horses are Lily’s life, just like they’d been her mother’s. But will her overprotective father stop her from fulfilling her - and her mother’s - dreams?
Thirteen-year-old Lily O’Neil’s passion is Arabian horses. Someday she wants to be a great endurance rider like her mother. But after a freak riding accident took her mother’s life a year earlier, Lily’s father forbade her to ride ever again.
When Lily’s grandmother comes to live with them, however, she convinces Mr. O’Neil to let Lily clean stalls on the neighboring Arabian ranch, a place her mother had worked - and loved. Lily is ecstatic, especially since she’ll be near her mother’s favorite horse, Astra. But when Astra falls ill because of the negligence of her new rider, Lily must fight to save the life of her mother’s beloved mare. Will Astra ever race again?",Từ 13 tuổi trở lên
999,Beastly tales,https://lotuscommunity.org.vn/wp-content/uploads/2021/10/Beastly-tales.jpg,33-4,071,Vikram Seth,Sách truyện người lớn,Tưởng tượng,Phoenix,"Ten witty and enchanting animal fables in verse which, like a modern Aesop's Fables, can be enjoyed by young and old alike",Từ 13 tuổi trở lên
