Title,Images,Shelflist,Position,Author,Category,SubCategory,Publisher,Description,Tags
100 facts on ancient Egypt,https://lotuscommunity.org.vn/wp-content/uploads/2022/03/100-facts-on-ancient-Egypt.jpg,25-3,059,Miles Kelly,Sách tham khảo,Con người và văn hóa,Miles Kelly Publishing Ltd,"100 Facts Ancient Egypt covers all key topics about ancient Egypt for kids in interesting numbered facts. Amazing information is accompanied by fantastic illustrations and photographs that put unbelievable facts into context for young learners. One of our bestselling ancient Egypt books for kids aged 6-10 years, this title is perfect for school projects.","Sách tham khảo, Con người và văn hóa"
100 facts: deep ocean,https://lotuscommunity.org.vn/wp-content/uploads/2022/03/100-facts-deep-ocean.jpg,23-4,079,Miles Kelly,Sách tham khảo,Động vật,Miles Kelly Publishing Ltd,"100 Facts Deep Ocean book for kids is bursting with exactly 100 awesome facts, mind-blowing images and loads of activities to help children aged 7+ years learn everything they need to know about the great underwater world. Concise information so your child only learns the most important information. Cartoons and fun facts to add humor to learning. Close-up photos of unseen creatures found in the deep ocean. 100 Facts Deep Ocean book for kids includes incredible facts for kids in easily-digestible, numbered paragraphs. Information is accompanied by amazing illustrations and photographs that put unbelievable facts into context for children aged 7+ years. ","Sách tham khảo, Động vật"
100 facts: shipwrecks,https://lotuscommunity.org.vn/wp-content/uploads/2022/03/100-facts-shipwrecks.jpg,28-1,053,Miles Kelly,Sách tham khảo,Đất nước và khám phá,Miles Kelly Publishing Ltd,"100 Facts Shipwrecks is bursting with exactly 100 awesome facts, mind-blowing images and fun activities to help children learn everything they need to know about the incredible secrets of sunken ships.
100 Facts Shipwrecks contains key topics about the remains of ships beneath the waves in concise numbered facts. Information is accompanied by amazing illustrations and photographs that put unbelievable facts into context for young learners.","Sách tham khảo, Đất nước và khám phá"
A bug's life: the movie picture book collection,https://lotuscommunity.org.vn/wp-content/uploads/2022/03/A-bug_s-life-the-movie-picture-book-collection.jpg,6-5,016,Ladybird,Sách truyện thiếu nhi,3-6 tuổi,Ladybird Books Ltd,"Every year on Ant Island, the ant colony und er the rule of the Queen Ant and Princess Atta work tireless ly gathering food for winter. The books in this series follow the adventures of the different characters who live on Ant Island.",3-6 tuổi
A day on the farm,https://lotuscommunity.org.vn/wp-content/uploads/2022/03/A-day-on-the-farm.jpg,6-5,034,Olive May Green,Sách truyện thiếu nhi,3-6 tuổi,Top That Publishing US,"Join Panda, Fox and Donkey as they go on a learning journey to the farm! 3 Go Farming is a press-out-and-build model and storybook from Top That Publishing. Read the farmyard story, then build a red tractor to bring it to life! 

Designed for children aged 3+, 3 Go Farming is part of the Learning Journeys range and is a great way to introduce children to where our food comes from. 

Written by Sally Hopgood and illustrated by Olive May Green.

",3-6 tuổi
Alphabet stencil book,https://lotuscommunity.org.vn/wp-content/uploads/2022/03/Alphabet-stencil-book.jpg,6-5,008,PHP,Sách truyện thiếu nhi,3-6 tuổi,B.T. Batsford,"30 alphabet and number stencil sets for every kind of design and craft work
A hugely useful book for any design or craft project. It features 30 alphabet and number set stencils printed on perforated card stock so that they can be torn out and used. From simple sans serif fonts to ornate letters, they can be used in interior design work, such as on cushions, curtains, walls and lampshades. You can monograph chests and luggage too. they are great for any craft project such as textiles, quilting, clothes design, applique, cardmaking or scrapbooking. You could even use them for cake decorating and wedding material. the sets include matching upper and lower case fonts. Accents and symbols are included so you can compose in any European language.You can customize your project to say exactly what you want it to say. A short introduction on how to use and make the most of the stencil is included at the front of the book. It is a great resource for any artist, designer or crafter.",3-6 tuổi
Ancient Egypt,https://lotuscommunity.org.vn/wp-content/uploads/2022/03/Ancient-Egypt-(2).jpg,28-1,052,DK,Sách tham khảo,Đất nước và khám phá,DK Children,"
Travel back in time to ancient Egypt and see for yourself with this revealing and remarkable guide from DK's best-selling Eyewitness series.","Sách tham khảo, Đất nước và khám phá"
Angelica Sprocket's pockets,https://lotuscommunity.org.vn/wp-content/uploads/2022/03/Angelica-Sprocket_s-pockets.jpg,6-5,030,Quentin Blake,Sách truyện thiếu nhi,3-6 tuổi,Random House Children's Publishers UK,"Angelica Sprocket lives next door. Her overcoat has pockets galore! And you'll never guess what's in them. Prepare to be surprised, thrilled and tickled pink by Angelica Sprocket's never-ending pockets, and the marvellous things she keeps in them!",3-6 tuổi
Animals should definitely not act like people,https://lotuscommunity.org.vn/wp-content/uploads/2022/03/Animals-should-definitely-not-act-like-people.jpg,6-5,018,Judi Barrett,Sách truyện thiếu nhi,3-6 tuổi,Atheneum Books for Young Reader,"Animals should definitely not act like people.
...because it would be foolish for a fish, so silly for a sheep, and preposterous for a panda - as Ron Barrett's wonderfully detailed drawings show.
This book will show children a new way of looking at animals and people, even as they laugh",3-6 tuổi
Animals should definitely not wear clothing,https://lotuscommunity.org.vn/wp-content/uploads/2022/03/Animals-should-definitely-not-wear-clothing.jpg,6-5,017,Judi Barrett,Sách truyện thiếu nhi,3-6 tuổi,Little Simon,"Animals should definitely not wear clothing... because a snake would lose it, a billy goat would eat it for lunch, and it would always be wet on a walrus! This popular book by Judi Barrett and Ron Barrett shows the very youngest why animals’ natural clothing is perfect just as it is.

Now with new illustrations that retain the charming quality of the originals but give this edition a fresh look, this beloved story is available as a Classic Board Book for the very first time.",3-6 tuổi
