S/N,Title,Images,Shelflist,Position,Author,Category,SubCategory,Publisher,Description,Tags
1595,Chickenpox (head-to-toe),https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Chickenpox-(head-to-toe).jpg,25-6,067,Elaine Landau,Sách tham khảo,Cơ thể,Cavendish Square Publishing,An introduction to chickenpox and its prevention.,10-12 tuổi
1749,Colds,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Colds.jpg,25-6,062,Jason Glaser,Sách tham khảo,Cơ thể,"Capstone Press
","Introduces readers to the common cold, its symptoms, treatments, and prevention.",10-12 tuổi
1771,Comets and asteroids: space rocks,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Comets-and-asteroids-space-rocks.jpg,26-6,069,Greg Roza,Sách tham khảo,Vũ trụ,Gareth Stevens Publishing,"Out among the planets and moons of our solar system, much smaller chunks of rock and ice orbit the sun. We call them comets and asteroids. Most asteroids orbit the sun between Mars and Jupiter. Comets come hurtling in from the deepest reaches of the solar system. Students will be absolutely engrossed by this books presentation of our galaxys most active, far traveling, and smallest inhabitants.",10-12 tuổi
1803,Constellations,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Constellations.jpg,26-6,044,Martha Rustad,Sách tham khảo,Vũ trụ,Capstone Press,Did you know there are 88 constellations in the night sky? Which one looks like a hunter? Find out more in Constellations.,10-12 tuổi
1804,Constellations,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Constellations.jpg,26-6,043,Martha Rustad,Sách tham khảo,Vũ trụ,Capstone Press,Did you know there are 88 constellations in the night sky? Which one looks like a hunter? Find out more in Constellations.,10-12 tuổi
1846,Coral: reef builders,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Coral-reef-builders.jpg,27-6,046,Lynn George,Sách tham khảo,Trái đất của chúng ta,PowerKids Press,"Most people know that coral reefs are beautiful, but how much do we really know about the architects of these amazing, rich habitats? Students will take a close look at the anatomy of coral, how more coral are born, and how these creatures make impressive reef structures and beautiful habitats for underwater life.",10-12 tuổi
1883,Counting money,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Counting-money.jpeg,26-3,083,Marianne Penn,Sách tham khảo,Cuộc sống thường ngày,Capstone Press,Basic math skills for early learners! Pebbles hallmark close photo text match makes beginning math concepts clear. Equations and labels are also shown when appropriate.,10-12 tuổi
1956,"Crust and spray: gross stuff in your eyes, ears, nose, and throat",https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Crust-and-spray-gross-stuff-in-your-eyes-ears-nose-and-throat.jpg,25-6,055,C. S. Larsen,Sách tham khảo,Cơ thể,Millbrook Press,"Learn all about the nasty stuff in your eyes, ears, nose, and throat and find out how it can actually help you by flushing germs out of your body and keeping you in good health.",10-12 tuổi
2079,Delicious dairy,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Delicious-dairy.jpg,26-3,062,John Burstein,Sách tham khảo,Cuộc sống thường ngày,Crabtree Publishing,"In this interesting new book Slim explores the essential nutritional value of the dairy group. Children will learn about why dairy products are so important for healthy bones and teeth, how milk is brought to market, the difference between whole milk and fat-free milk, how cheese and yogurt is made, what kinds of animals produce milk, different dairy products used around the world, and how much dairy a person needs to consume each day.",10-12 tuổi
2111,Deserts,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Deserts.jpg,27-6,007,Leon Gray,Sách tham khảo,Trái đất của chúng ta,Wayland,This title describes the deserts of the world and the wildlife and other features that make them unique.,10-12 tuổi
